ID czaswypelnienia czasnauka procentzajec czasaktywnosci srednia motywacja zaangazowanie FTP IQ ekstrawersja ugodowosc sumiennosc neurotyzm otwartoscnadoswiadczenia plec0 plec studia wiek edukacjarodzicow0 edukacjarodzicow wsparciefinansowe0 wsparciefinansowe dochodrozporzadzalny0 dochodrozporzadzalny trybstudiaw0 trybstudiaw kierunek humanistyczne inzynieryjnotechniczne medyczneinaukiozdrowiu unknown scisleiprzyrodnicze miejscowosc zamieszkanie0 zamieszkanie czasnauka0 czasaktywnosci0 biblio0 biblio l_zaangazowanie sq_zaangazowanie sq_FTP sq_IQ sq_sumiennosc l_neurotyzm l_zaangazowanie_boxcox l_l_zaangazowanie_boxcox FTP_trybstudiaw IQ_trybstudiaw ekstrawersja_trybstudiaw sumiennosc_trybstudiaw edukacjarodzicow_trybstudiaw wsparciefinansowe_trybstudiaw FTP_edukacjarodzicow IQ_edukacjarodzicow ekstrawersja_edukacjarodzicow sumiennosc_edukacjarodzicow wsparcie_edukacjarodzicow trybstudiaw_edukacjarodzicow mask sq_sq_sumiennosc sq_wsparciefinansowe czydochod czydochod2 uhat1
76 1262.99999475014 0 80 3 4 17 40 10 3 3 5 5 4 5 "Mężczyzna" 1 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "w ogóle nie przygotowuję się do zajęć" "2-3 godziny dziennie" "Rzadziej lub wcale" 0 3.68887945411394 1600 100 9 25 1.38629436111989 10.6491106406735 2.36547638075047 10 3 3 5 1 4 10 3 3 5 4 1 1 625 16 4000 0 -0.621103016527483
77 884.99999565538 0.5 65 6 4.1 28 36.6666666666667 15 3 5 7 5 5 7 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "2000-2999" 2500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam wspólnie z rodzicami;Mieszkam sam;" 1 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.60186807712431 1344.44444444444 225 9 25 1.6094379124341 10.11060141639 2.31358451854201 15 3 5 5 1 4 15 3 5 5 4 1 1 625 16 2500 0 -1.3336663739787
78 868.000000482425 1 100 1 4.56 35 58.3333333333333 19 4 7 7 8 1 7 "Mężczyzna" 1 "5 lat" 24 "Wykształcenie wyższe" 1 "Samodzielne utrzymanie, wsparcie finansowe organizacji (dofinansowanie), w mniejszym stopniu wsparcie finansowe rodziców" 1 "8000 i powyżej" 9500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 50 tys. do 150 tys." "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "4-7 godzin tygodniowo" "4-7 godzin tygodniowo" "Kilka razy w tygodniu" 4 4.0661736852554 3402.77777777778 361 16 64 0 13.2752523165195 2.5859015738415 19 4 7 8 1 1 19 4 7 8 1 1 1 4096 1 0 9500 0.867717360956078
79 445.999996759929 3 70 6 4.92 30 60 19 3 6 8 8 3 8 "Mężczyzna" 1 "1 rok" 20 "Wykształcenie wyższe" 1 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "8000 i powyżej" 9500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "2-3 godziny dziennie" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 4.0943445622221 3600 361 9 64 1.09861228866811 13.4919333848297 2.6020919798043 19 3 6 8 1 2 19 3 6 8 2 1 1 4096 4 9500 0 0.0177231695403233
80 448.999994318001 1 95 3 3.2 26 55.8333333333333 18 5 7 4 6 3 4 "Mężczyzna" 1 "3 lata" 22 "Jeden z rodziców/opiekunów prawnych ma wykształcenie średnie a drugi podstawowe" 0 "W 100% utrzymuję się sam" 1 "2000-2999" 2500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto od 150 tys. do 500 tys." "Mieszkam w akademiku;" 0 "4-7 godzin tygodniowo" "2-3 godziny dziennie" "Rzadziej lub wcale" 0 4.02237106259701 3117.36111111111 324 25 36 1.09861228866811 12.9443411809733 2.56065871820217 18 5 7 6 0 1 0 0 0 0 0 0 1 1296 1 0 2500 -0.529331105348508
82 1001.00000454113 0 90 6 3.75 20 45 7 2 5 3 5 3 5 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie podstawowe" 0 "W 100% utrzymuję się sam" 1 "2000-2999" 2500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto powyżej 500 tys." "Mieszkam sam;" 0 "mniej niż 1 godzinę tygodniowo" "4 godziny dziennie lub więcej" "Kilka razy w miesiącu" 3 3.80666248977032 2025 49 4 25 1.09861228866811 11.4164078649987 2.43505160702395 7 2 5 5 0 1 0 0 0 0 0 0 1 625 1 0 2500 1.62271809994316
83 523.999998648651 0.5 90 1 3.85 29 49.1666666666667 13 4 6 5 2 6 5 "Mężczyzna" 1 "1 rok" 20 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;Społeczne i ekonomiczne;" 0 0 0 1 1 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 3.89521588711176 2417.36111111111 169 16 4 1.79175946922806 12.0237893119751 2.48688713000633 13 4 6 2 0 4 0 0 0 0 0 0 1 16 16 500 0 -0.962359994670221
85 548.000000487081 0.5 100 6 4.55 30 54.1666666666667 19 1 9 6 6 7 6 "Kobieta" 0 "1 rok" 20 "Jeden z rodziców/opiekunów prawnych ma wykształcenie średnie a drugi podstawowe" 0 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "1000-1999" 1500 "Studia stacjonarne;" 1 "Humanistyczne;" 1 0 0 0 0 "Wieś" "Mieszkam w akademiku;" 0 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.99206571310168 2934.02777777778 361 1 36 1.94591014905531 12.7196014438797 2.54314422439276 19 1 9 6 0 2 0 0 0 0 0 0 1 1296 4 0 1500 0.385291846002717
86 6307.00000142679 1 90 0.5 4.42 32 53.3333333333333 17 4 4 8 6 3 9 "Mężczyzna" 1 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "1-3 godziny tygodniowo" "Raz w miesiącu" 2 3.97656152656572 2844.44444444444 289 16 36 1.09861228866811 12.6059348668044 2.53416772423673 17 4 4 6 1 4 17 4 4 6 4 1 1 1296 16 500 0 -0.855624072468647
87 777.999997674488 0 70 1 4 27 35 10 1 5 7 2 5 8 "Kobieta" 0 "0 lat (jestem w trakcie pierwszego roku)" 19 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "1000-1999" 1500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 150 tys. do 500 tys." "Mieszkam z bratem;" 0 "w ogóle nie przygotowuję się do zajęć" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 3.55534806148941 1225 100 1 4 1.6094379124341 9.83215956619923 2.28565860140373 10 1 5 2 0 4 0 0 0 0 0 0 1 16 16 0 1500 -0.71668996350537
88 758.000004314818 0.5 80 6 4.5 32 44.1666666666667 19 5 6 7 5 3 9 "Mężczyzna" 1 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie wyższe" 1 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "1000-1999" 1500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;Mieszkam sam;" 1 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Raz w miesiącu" 2 3.78797035675817 1950.69444444444 361 25 25 1.09861228866811 11.2916013582513 2.42405920674392 19 5 6 5 1 3 19 5 6 5 3 1 1 625 9 1500 0 -2.39420817216943
89 938.000001758337 0 65 0 3.92 30 32.5 13 2 9 6 3 4 7 "Kobieta" 0 "5 lat" 24 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;Ścisłe i przyrodnicze;" 0 0 0 1 1 "Miasto powyżej 500 tys." "Mieszkam sam;" 0 "mniej niż 1 godzinę tygodniowo" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.48124008933569 1056.25 169 4 9 1.38629436111989 9.40175425099138 2.24089629431005 13 2 9 3 1 5 13 2 9 3 5 1 1 81 25 0 4000 -1.37868523229864
90 2867.00000257697 3 80 1 4.4 30 65 16 5 1 4 3 3 4 "Mężczyzna" 1 "3 lata" 22 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "2-3 godziny dziennie" "4-7 godzin tygodniowo" "Tylko podczas sesji" 1 4.17438726989564 4225 256 25 9 1.09861228866811 14.1245154965971 2.64791197531834 16 5 1 3 1 4 16 5 1 3 4 1 1 81 16 500 0 0.84672014355252
91 1584.9999996135 6 100 1 3.85 27 100 14 5 4 5 3 5 7 "Mężczyzna" 1 "2 lata" 21 "Jeden z rodziców/opiekunów prawnych ma wykształcenie średnie a drugi podstawowe" 0 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "<1000" 500 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "4 godziny dziennie lub więcej" "4-7 godzin tygodniowo" "Kilka razy w miesiącu" 3 4.60517018598809 10000 196 25 9 1.6094379124341 18 2.89037175789616 14 5 4 3 0 5 0 0 0 0 0 0 1 81 25 500 0 3.99180952082996
92 818.000000738539 3 98 1 4.3 22 74 17 1 2 6 5 9 8 "Kobieta" 0 "4 lata" 23 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "2000-2999" 2500 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto do 50 tys." "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "2-3 godziny dziennie" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 4.30406509320417 5476 289 1 25 2.19722457733622 15.2046505340853 2.721601337247 17 1 2 5 1 4 17 1 2 5 4 1 1 625 16 0 2500 2.42361993345936
93 460.000001918525 3 100 6 4.2 29 75 15 3 6 5 7 7 5 "Kobieta" 0 "2 lata" 21 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "5000-7999" 6500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "2-3 godziny dziennie" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 4.31748811353631 5625 225 9 49 1.94591014905531 15.3205080756888 2.72919232797198 15 3 6 7 1 4 15 3 6 7 4 1 1 2401 16 6500 0 3.49605548789921
94 1282.00000359211 3 80 3 3.5 25 65 16 5 6 5 8 2 4 "Mężczyzna" 1 "1 rok" 20 "Wykształcenie wyższe" 1 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "1000-1999" 1500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto do 50 tys." "Mieszkam wspólnie z rodzicami;" 1 "2-3 godziny dziennie" "2-3 godziny dziennie" "Raz w miesiącu" 2 4.17438726989564 4225 256 25 64 0.693147180559945 14.1245154965971 2.64791197531834 16 5 6 8 1 3 16 5 6 8 3 1 1 4096 9 1500 0 0.941690976865557
95 569.00000476744 0.5 60 0 4.2 32 34.1666666666667 16 4 7 4 5 5 5 "Mężczyzna" 1 "1 rok" 20 "Wykształcenie średnie" 0 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "2000-2999" 2500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.53125050991035 1167.36111111111 256 16 25 1.6094379124341 9.69045194450012 2.27114106511434 0 0 0 0 0 0 0 0 0 0 0 0 1 625 4 2500 0 -1.22968792504384
96 175.00000318978 0.5 30 6 4.8 31 19.1666666666667 17 1 8 5 4 3 2 "Kobieta" 0 "4 lata" 23 "Wykształcenie podstawowe" 0 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "2000-2999" 2500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;Inżynieryjno-techniczne;" 0 1 0 1 0 "Miasto do 50 tys." "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Kilka razy w tygodniu" 4 2.95317265913519 367.361111111111 289 1 16 1.09861228866811 6.75595035770913 1.91042365103655 17 1 8 4 0 2 0 0 0 0 0 0 1 256 4 0 2500 -3.54369823388542
97 1590.99999535829 3 60 0 4.29 28 55 15 5 5 4 7 3 4 "Kobieta" 0 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "5000-7999" 6500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 150 tys. do 500 tys." "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "2-3 godziny dziennie" "mniej niż 1 godzinę tygodniowo" "Raz w miesiącu" 2 4.00733318523247 3025 225 25 49 1.09861228866811 12.8323969741913 2.55197298691367 15 5 5 7 1 5 15 5 5 7 5 1 1 2401 25 0 6500 -1.56597682645341
98 326.000003912486 0.5 60 3 4.5 33 34.1666666666667 15 3 4 2 2 1 2 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "1-3 godziny tygodniowo" "2-3 godziny dziennie" "Rzadziej lub wcale" 0 3.53125050991035 1167.36111111111 225 9 4 0 9.69045194450012 2.27114106511434 15 3 4 2 1 4 15 3 4 2 4 1 1 16 16 0 4000 -1.28002690976346
99 334.999998472631 0.5 95 6 4.5 30 51.6666666666667 15 3 4 5 6 7 5 "Mężczyzna" 1 "6 lat i więcej" 25 "Wykształcenie średnie" 0 "W 100% utrzymuję się sam" 1 "1000-1999" 1500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto powyżej 500 tys." "Mieszkam ze swoją rodziną (współmałżonkiem, partnerem, dziećmi);" 0 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.94481282825114 2669.44444444444 225 9 36 1.94591014905531 12.3759057685652 2.51575149919566 15 3 4 6 0 1 0 0 0 0 0 0 1 1296 1 0 1500 0.14549929697062
100 1097.0000037225 3 95 1 4.75 32 72.5 17 6 4 3 2 6 5 "Kobieta" 0 "1 rok" 20 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "1000-1999" 1500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "2-3 godziny dziennie" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 4.28358656186063 5256.25 289 36 4 1.79175946922806 15.0293863659264 2.71000737564775 17 6 4 2 1 4 17 6 4 2 4 1 1 16 16 1500 0 0.798204300552118
101 3966.00000173785 1 90 0 3.5 23 53.3333333333333 8 6 5 5 1 8 6 "Mężczyzna" 1 "1 rok" 20 "Wykształcenie średnie" 0 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "1000-1999" 1500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "mniej niż 1 godzinę tygodniowo" "Kilka razy w miesiącu" 3 3.97656152656572 2844.44444444444 64 36 1 2.07944154167984 12.6059348668044 2.53416772423673 8 6 5 1 0 5 0 0 0 0 0 0 1 1 25 1500 0 -0.832689469419989
102 1011.00000122096 1 95 3 4.1 27 55.8333333333333 14 2 7 9 5 5 9 "Kobieta" 0 "4 lata" 23 "Wykształcenie wyższe" 1 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "2000-2999" 2500 "Studia stacjonarne;" 1 "Medyczne i nauki o zdrowiu;Ścisłe i przyrodnicze;" 0 0 1 0 1 "Miasto do 50 tys." "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "4-7 godzin tygodniowo" "2-3 godziny dziennie" "Kilka razy w miesiącu" 3 4.02237106259701 3117.36111111111 196 4 25 1.6094379124341 12.9443411809733 2.56065871820217 14 2 7 5 1 3 14 2 7 5 3 1 1 625 9 0 2500 0.414738117308874
103 3553.99999469519 1 100 0.5 4.67 34 58.3333333333333 16 2 5 5 6 9 3 "Mężczyzna" 1 "5 lat" 24 "Wykształcenie średnie" 0 "W 100% utrzymuję się sam" 1 "3000-4999" 4000 "Studia stacjonarne;" 1 "teologia ;" 1 0 0 0 0 "Wieś" "Mieszkam w akademiku;" 0 "4-7 godzin tygodniowo" "1-3 godziny tygodniowo" "Rzadziej lub wcale" 0 4.0661736852554 3402.77777777778 256 4 36 2.19722457733622 13.2752523165195 2.5859015738415 16 2 5 6 0 1 0 0 0 0 0 0 1 1296 1 0 4000 0.393591975741774
104 1794.0000006929 3 69 1 4.21 30 59.5 19 5 7 3 8 6 4 "Kobieta" 0 "1 rok" 20 "Wykształcenie wyższe" 1 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "1000-1999" 1500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto powyżej 500 tys." "Mieszkam w akademiku;" 0 "2-3 godziny dziennie" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 4.08597631255158 3540.25 361 25 64 1.79175946922806 13.4272486205415 2.59728612138161 19 5 7 8 1 2 19 5 7 8 2 1 1 4096 4 0 1500 -0.264898767594923
105 1714.99999731313 1 60 0 3.21 25 38.3333333333333 13 2 4 2 5 5 4 "Kobieta" 0 "1 rok" 20 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "1000-1999" 1500 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "mniej niż 1 godzinę tygodniowo" "Kilka razy w tygodniu" 4 3.64631983969514 1469.44444444444 169 4 25 1.6094379124341 10.3827837473378 2.34014902553414 13 2 4 5 0 4 0 0 0 0 0 0 1 625 16 1500 0 -1.73055751798287
106 1090.99999854807 6 90 0.5 4.85 33 95 18 4 5 6 6 5 8 "Kobieta" 0 "5 lat" 24 "Wykształcenie średnie" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "1000-1999" 1500 "Studia stacjonarne;Studia zaoczne / niestacjonarne lub inne;" 1 "Humanistyczne;Społeczne i ekonomiczne;" 1 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4 godziny dziennie lub więcej" "1-3 godziny tygodniowo" "Kilka razy w tygodniu" 4 4.55387689160054 9025 324 16 36 1.6094379124341 17.4935886896179 2.86183445320977 18 4 5 6 0 4 0 0 0 0 0 0 1 1296 16 1500 0 1.81685515404434
107 801.999999512919 0 90 3 4.2 33 45 14 2 8 5 8 4 5 "Kobieta" 0 "5 lat" 24 "Wykształcenie wyższe" 1 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "1000-1999" 1500 "Studia stacjonarne;" 1 "Medyczne i nauki o zdrowiu;" 0 0 1 0 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "mniej niż 1 godzinę tygodniowo" "2-3 godziny dziennie" "Rzadziej lub wcale" 0 3.80666248977032 2025 196 4 64 1.38629436111989 11.4164078649987 2.43505160702395 14 2 8 8 1 2 14 2 8 8 2 1 1 4096 4 1500 0 0.991571167827422
108 1016.99999696575 0.5 90 6 3.5 29 49.1666666666667 11 5 2 7 4 3 8 "Mężczyzna" 1 "3 lata" 22 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto do 50 tys." "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Kilka razy w miesiącu" 3 3.89521588711176 2417.36111111111 121 25 16 1.09861228866811 12.0237893119751 2.48688713000633 11 5 2 4 0 4 0 0 0 0 0 0 1 256 16 500 0 -1.02365305698388
109 815.000002551824 0 70 0 4 29 35 13 2 6 4 8 4 8 "Kobieta" 0 "1 rok" 20 "Wykształcenie średnie" 0 "W 100% utrzymuję się sam" 1 "8000 i powyżej" 9500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam ze swoją rodziną (współmałżonkiem, partnerem, dziećmi);" 0 "mniej niż 1 godzinę tygodniowo" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.55534806148941 1225 169 4 64 1.38629436111989 9.83215956619923 2.28565860140373 0 0 0 0 0 0 0 0 0 0 0 0 1 4096 1 0 9500 -1.34429946438388
110 530.999997141771 1 70 0.5 4.1 31 43.3333333333333 16 5 5 5 4 5 5 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "2000-2999" 2500 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;Matematyka;" 0 1 0 0 0 "Miasto od 150 tys. do 500 tys." "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "4-7 godzin tygodniowo" "1-3 godziny tygodniowo" "Tylko podczas sesji" 1 3.76892216178747 1877.77777777778 256 25 16 1.6094379124341 11.1656117720877 2.41283867752926 16 5 5 4 1 5 16 5 5 4 5 1 1 256 25 0 2500 -2.35838743944181
111 464.00000222493 3 78 6 4.2 36 64 19 3 7 7 8 3 7 "Mężczyzna" 1 "1 rok" 20 "Wykształcenie średnie" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "5000-7999" 6500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 50 tys. do 150 tys." "Mieszkam sam;" 0 "2-3 godziny dziennie" "4 godziny dziennie lub więcej" "Kilka razy w miesiącu" 3 4.15888308335967 4096 361 9 64 1.09861228866811 14 2.63905732961526 19 3 7 8 0 3 0 0 0 0 0 0 1 4096 9 0 6500 0.250648743225543
112 1100.00000128057 1 100 6 4.64 27 58.3333333333333 17 2 8 7 5 9 7 "Kobieta" 0 "5 lat" 24 "Wykształcenie wyższe" 1 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "5000-7999" 6500 "Studia stacjonarne;" 1 "Humanistyczne;Społeczne i ekonomiczne;" 1 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam ze swoją rodziną (współmałżonkiem, partnerem, dziećmi);Mieszkam sam;" 0 "4-7 godzin tygodniowo" "4 godziny dziennie lub więcej" "Kilka razy w tygodniu" 4 4.0661736852554 3402.77777777778 289 4 25 2.19722457733622 13.2752523165195 2.5859015738415 17 2 8 5 1 2 17 2 8 5 2 1 1 625 4 0 6500 1.41922856277984
114 291.000003903173 0 20 1 4 20 10 5 2 5 4 1 8 3 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "w ogóle nie przygotowuję się do zajęć" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 2.30258509299405 100 25 4 1 2.07944154167984 4.32455532033676 1.4643093189908 5 2 5 1 1 4 5 2 5 1 4 1 1 1 16 500 0 -3.16917692664553
115 703.999995463528 3 100 6 4.85 31 75 19 3 1 6 6 9 5 "Mężczyzna" 1 "5 lat" 24 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "5000-7999" 6500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 150 tys. do 500 tys." "Mieszkam z dalszą rodziną (np. babcią, dziadkiem, ciocią, wujkiem);" 0 "2-3 godziny dziennie" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 4.31748811353631 5625 361 9 36 2.19722457733622 15.3205080756888 2.72919232797198 19 3 1 6 1 4 19 3 1 6 4 1 1 1296 16 0 6500 1.03574060417979
